Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.01μF","C_0402_1005Metric",136.500000,-65.250000,0.000000,top
"C2","0.1μF","C_0402_1005Metric",136.500000,-66.250000,0.000000,top
"C3","0.01μF","C_0402_1005Metric",143.000000,-60.250000,-90.000000,top
"C4","20pF","C_0402_1005Metric",143.750000,-53.750000,-90.000000,top
"C5","0.1μF","C_0402_1005Metric",144.000000,-60.250000,-90.000000,top
"C6","0.01μF","C_0402_1005Metric",138.500000,-65.250000,180.000000,top
"C7","20pF","C_0402_1005Metric",147.000000,-57.250000,180.000000,top
"C8","0.1μF","C_0402_1005Metric",138.500000,-66.250000,180.000000,top
"C9","0.01μF","C_0402_1005Metric",141.750000,-57.250000,180.000000,top
"C10","0.1μF","C_0402_1005Metric",141.750000,-56.250000,180.000000,top
"C11","0.01μF","C_0402_1005Metric",137.250000,-56.750000,-90.000000,top
"C12","0.1μF","C_0402_1005Metric",136.250000,-56.750000,-90.000000,top
"C13","0.1μF","C_0402_1005Metric",139.000000,-57.000000,180.000000,top
"C14","0.1μF","C_0402_1005Metric",140.250000,-54.250000,90.000000,top
"C16","0.1μF","C_0402_1005Metric",139.250000,-54.250000,90.000000,top
"C22","100μF","C_0805_2012Metric",160.250000,-51.750000,180.000000,top
"C23","100μF","C_0805_2012Metric",160.550000,-58.500000,180.000000,top
"C24","0.01μF","C_0402_1005Metric",159.500000,-53.750000,180.000000,top
"C25","0.1μF","C_0402_1005Metric",157.250000,-51.750000,-90.000000,top
"C26","0.1μF","C_0402_1005Metric",159.000000,-56.000000,-90.000000,top
"C27","0.01μF","C_0402_1005Metric",160.250000,-56.000000,-90.000000,top
"F1","LC(PI)","NFE31PT101C1E9L_MUR",153.500000,-51.750000,0.000000,top
"F2","LC(PI)","NFE31PT101C1E9L_MUR",143.250000,-68.500000,-90.000000,top
"F3","LC(PI)","NFE31PT101C1E9L_MUR",138.750000,-69.750000,0.000000,top
"F4","LC(PI)","NFE31PT101C1E9L_MUR",130.000000,-63.000000,-90.000000,top
"F5","LC(PI)","NFE31PT101C1E9L_MUR",132.250000,-68.500000,-90.000000,top
"R1","4.7k","R_0402_1005Metric",134.000000,-61.000000,180.000000,top
"R2","24","R_0402_1005Metric",138.500000,-52.500000,0.000000,top
"R3","51","R_0402_1005Metric",140.750000,-52.500000,0.000000,top
"R6","4.7k","R_0402_1005Metric",134.500000,-65.250000,90.000000,top
"R7","24","R_0402_1005Metric",137.250000,-54.250000,90.000000,top
"R9","51","R_0402_1005Metric",138.250000,-54.260000,-90.000000,top
"R23","560","R_0402_1005Metric",145.000000,-57.250000,180.000000,top
"R24","4.7k","R_0402_1005Metric",134.000000,-63.000000,180.000000,top
"R25","4.7k","R_0402_1005Metric",134.000000,-62.000000,180.000000,top
"R26","4.7k","R_0402_1005Metric",140.250000,-65.750000,-90.000000,top
"U1","ADV7280AWBCPZ-M","CP_32_12_ADI",138.500000,-61.250000,90.000000,top
"U2","TLV75718PDBV","SOT-23-5",156.500000,-55.750000,-90.000000,top
"Y1","28.63636MHz","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",146.250000,-54.250000,-90.000000,top
