Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01μF,C0201,136.75,-65.25,0,top
C2,0.1μF,C0201,136.75,-66,0,top
C3,0.01μF,C0201,143.25,-60.75,180,top
C4,20pF,C0201,143.25,-54.75,-90,top
C5,0.1μF,C0201,143.75,-60,180,top
C6,0.01μF,C0201,138.25,-65.25,180,top
C7,20pF,C0201,145.75,-58.25,180,top
C8,0.1μF,C0201,138.25,-66,180,top
C9,0.01μF,C0201,141.25,-57.25,90,top
C10,0.1μF,C0201,140.5,-57,-90,top
C11,0.01μF,C0201,137.75,-57,-90,top
C12,0.1μF,C0201,137,-57,-90,top
C13,0.1μF,C0201,139,-57.25,180,top
C14,0.1μF,C0201,139.75,-55.5,90,top
C16,0.1μF,C0201,139,-55.5,90,top
R1,2.7k,R0201,134.25,-61.75,180,top
R2,24,R0201,138,-54.25,0,top
R3,51,R0201,139.5,-54.25,0,top
R6,2.7k,R0201,135.5,-65.25,90,top
R7,24,R0201,137.5,-55.5,90,top
R9,51,R0201,138.25,-55.5,-90,top
R23,560,R0201,144.25,-58.25,180,top
R24,2.7k,R0201,134.25,-63.5,180,top
R25,2.7k,R0201,134.25,-62.75,180,top
R26,2.7k,R0201,139.5,-65.5,-90,top
U2,TLV75718PDBV,SOT-23-5,139.75,-51.75,180,top
Y1,28.63636MHz,SMD3225-4P,145.5,-55.5,-90,top
